,content_time,star,comment-content
0,2020-12-01 21:04:12,推荐,这才第一集，嫪毐的一个肾就没了，可还行？赵姬表示很亏[裂开]
1,2020-12-02 23:21:44,较差,剧组合适吗 当我傻 不知道嬴政多少岁登基吗 窒息 张鲁一演少年嬴政是穷的请不起小演员吗 
2,2020-12-01 21:13:28,很差,因一星被很多第四部粉丝豆邮恶意攻击。别人要接受你们的分数，否则就是异教徒。磨皮发白的滤镜和军师联盟相似的制景服装。作曲能和第一部比？嬴政的刻画，难道你们找不到一个和翁斐然差不多有点阴郁气质的小演员？还是根本不屑找？更别说张鲁一喊朱珠母亲了，简直无语。雷人的台词，诸如祖龙要跟吕不韦私奔。古语基本上就是个“甚”！战争场面是有钱了，但是和第一部比起来特别是上来的少梁之战。你们的士兵个个白白净净就算了，马站运镜都和第一部写实感有很大的差距。第一部也不严谨，诸如景监历史上是孝公宠信的太监，但那才是瑕不掩瑜！最后，最讨厌大秦妇一点就是都40集了还充斥着小家巴气的宫斗和阴谋。历史上没有发生的你们也硬要整出点什么！始皇帝，秦庙堂如果不是阳谋为体，尽最大努力团结怎么可能横扫六合，一统中国。这是格局。
3,2020-12-02 21:19:00,推荐,道服化好用心，演员除开赵姬都很给力，就不明白一点，张鲁一长相气质完全没有嬴政的feel，目前没上线不评价演的好不好，但形象上不符合我心中秦始皇的样子
4,2020-12-03 22:58:50,还行,张鲁一对着朱珠喊“母亲”，我后背发凉。
5,2020-12-01 20:43:49,力荐,从《裂变》一集不落的追到现在，也是数年的老粉了，在此期间，思想几多变化，对于大秦帝国系列要传达的价值观也有了更立体的认识。单就《天下》来说，在演员演技、剧本剧情以及服化道方面，比前三部有过之而无不及，可谓国产剧中的佼佼者，尤其对于兵马俑造型的还原，颇具历史感。剧粉和书粉的争论，从《纵横》开始延续至今，其实二种表现方式各有优劣。原作不乏历史厚重感，只是孙老先生私货太多，秦制和法家几乎完美无缺，老秦子弟都成了圣人。《纵横》的人物就立体化许多，明显的看出七国君臣都不是傻子，这样的对手戏才有看头。秦统的好坏，也是利弊兼有。帝制时代法家能帮帝王统治天下，现在再推崇这种披着“法治”外衣的人治无疑是违背世界潮流的。统一之后还百姓太平，也不过是窃国者的托辞。王侯将相宁有种乎?
6,2020-12-03 22:54:30,较差,失望！这是在拍什么古偶剧吗？要跟吕不韦浪迹天涯？？？张鲁一真的不适合演嬴政，毫无帝王之气。
7,2020-12-01 21:00:00,还行,比大秦帝国，差点儿意思。
8,2020-12-01 20:59:47,力荐,好看，一个段奕宏我就入戏了
9,2020-12-02 11:54:44,还行,跟前面几部，尤其是第一二部比起来，审美、剧情、服化道和节奏统统都不是一个档次的，变成了“戏说”大秦了。审美上就一股塑料味儿，毫无战国时期那种古朴带点野性纯粹的风格，假精致的影楼风。剧情和人设也奇葩，好多莫名其妙的事，轮子都掉了，驾车的还一个劲地鞭打马匹，智障么？赢异人是个顾家小男人，三句话不离老婆孩子。台词太直白，一嘴的现代大白话，白开水一样。节奏诡异，战争场面是砸钱了，可砸钱了你也别使劲堆砌啊，于剧情推动无关的大场面看多了很疲劳，影响主剧情，得不偿失。槽多无口，三星给演员们的演技吧，毕竟老戏骨还挺不容易的。
10,2020-12-01 20:36:07,力荐,赳赳老秦，共赴国难！
11,2020-12-01 21:00:29,力荐,看了一集，我先把五分放这
12,2020-12-01 20:42:38,力荐,11月初那会盗梦组织提前看了前三集，真的很绝，大秦给我冲！
13,2020-12-01 23:57:53,较差,做家务看了一集，吹成这样，一塌糊涂
14,2020-12-01 22:11:41,很差,我觉得张鲁一的长相和气质不适合演秦始皇，太出戏了，让他去演刘邦吧（不是说张鲁一不好，他演吴老狗就挺好，但演员都有局限性，毕竟长相和气质在那，不是什么角色都适合）还让张鲁一演13岁的嬴政啊，说怕小演员没演技，剧组的人没看过翁斐然的小嬴政吗？张版政实在没有始皇帝的感觉~失望~再就是朱珠的演技，我每次看见她都觉得好尴尬~再说说剧情，千古一帝秦始皇被写成了又傻白甜又怂包，要去跟吕不韦浪迹天涯，什么鬼编剧，看琼瑶看多了？编剧你确定这剧不是黑秦始皇的吗？还有大量宫斗剧情，我是想看千古一帝统一六国，谁想看宫斗啊我怀疑编剧写跑偏了，秦始皇是配角，把赵姬写成了大女主，然后一堆男的都爱她，拖拖拉拉快五十集嫪毐才死，改名吧，改成大秦后宫赋或大情妇得了更新于12.17。
15,2020-12-03 22:09:41,很差,我也不知道以下哪个更雷：80年的张鲁一叫84年的朱珠妈还演的是13岁的嬴政；张鲁一演的13岁嬴政叫吕不韦带他走，他们一起去浪迹天涯；嬴政管华阳叫嫡祖母太后。
16,2020-12-01 21:52:57,还行,失望！应该让丁黑导演
17,2020-12-03 00:56:41,较差,选角真的不可，相较于之前富大龙老师和张博，这部的嬴政选角emmm…，一言难尽，我认可张鲁一老师在其他剧里的演技，但他真的没有嬴政的气质，而且还扮演年龄13岁的少年嬴政…，他比段奕宏老师哼适合演吕不韦
18,2020-12-02 20:48:09,很差,还是场面太干净了！！啥玩意儿都是整整齐齐一点污糟都没有！这样怎么能叫大秦……你这地面都铺这么好的现代化地砖，秦始皇还需要车同轨吗？？？
19,2020-12-01 20:39:45,力荐,非常好看非常燃的一部剧，服化道精美，演员演技没的挑，五星👍
0,2020-12-04 07:52:48,很差,不说别的，千古一帝不是张鲁一这样的……他撑不起来，他也不配这个角色
1,2020-12-02 19:29:59,很差,古战国之风荡然无存，BGM滥用到无以复加，华丽的背后是精心堆砌的泥沙
2,2020-12-02 19:44:33,很差,难看 看了一集 这拉垮的剧情……
3,2020-12-04 13:40:19,很差,张鲁一演大秦还敢同时轧3部戏？可真牛啊！所以把秦王演成了赵高，没有一点帝王之气……还有朱珠，瞪眼式演技
4,2020-12-04 08:58:26,很差,讲真槽多无口......演员形象差距太大，13岁的嬴政长成那样？找个年龄相符的小演员很难？另外，听着台词太别扭，很多都是一字一字往外蹦，这种正剧古装剧难道演员不练的吗？太影响观剧感受了！
5,2020-12-02 19:41:56,很差,真的是有多期待就有多失望，剧情太生硬了，张鲁一适更合演刘邦，一点也比不上大秦帝国。
6,2020-12-03 16:05:00,较差,惊了，张鲁一居然演13岁的嬴政，之前那个长了一张灭六国脸的小演员翁裴然哪里去了
7,2020-12-04 05:13:53,较差,编剧水准真拉胯 历史上的嬴政绝不是张鲁一演的这个样子 嬴政不是一般的始皇帝 是天生的帝王家 会说出这种水平的台词？台词看得咯噔又尴尬，剧里成年模样的少年嬴政管吕不韦叫爸爸然后浪迹天涯？？祖龙都要气活了 希望演员对自己演的角色有使命感和敬畏之心 对自己有羞耻心和自知之明 四十岁的人演13岁都不到的童年嬴政真的不适合 演员本身的演技也没有优秀到让人可以忽略年龄跨度太大 而且眼神充满中年疲惫的感觉 缺少了少年眼神里应有的光芒和野心怀念少年帝王翁斐然 长了一张生来就要灭六国的脸 
8,2020-12-04 07:35:40,很差,可怕。选角不看外形年龄的？还有那荒唐至极的台词！！！！！！
9,2020-12-03 20:41:08,很差,以为有钱就能拍出好剧，非也!经费最穷的第一部拍出了最好的大秦帝国，第二部也很好，第三部要不是演员作死，抠图太假，也和第二部有的一拼。当然，前三部都不差。此剧开播，惊了!十三岁的小演员请不起吗？让一个大叔演十三岁的少年?合适吗？评论大神指出了好多历史错误。连央视都学起了韩式一字眉以及艳丽非凡的场景，请问电视剧这块还有救吗？做到古朴二字真这么难吗？怀念一下翁斐然的祖龙，眉宇间的阴鸷生来就是要灭六国的。不知道有生之年，能不能看到谁再好好演个秦始皇。
10,2020-12-04 07:52:54,较差,辱嬴政了 辱祖龙了 换个人演
11,2020-12-01 20:54:54,很差,我对改编的历史正剧很严格要做做好全方位特别是这样的历史庄严正剧。历史剧应该加入新颖和创新的元素风格在配合以往庄严的气势这样好才能完美打造出一部小说改编的历史古装正剧，我看了 两集之后太沉闷了，我们中国的古装历史正剧必须要做出改变，要加入现在新时代的一些创新的，新颖的一些元素在里面，那个画质画面感一定要有那种诗意感，有那种素描感有那种水墨画的感觉，古装历史正剧如果老是这样拍的话，那不如还去看纪录片好，不仅要遵循历史事实，而且在拍摄上面也要加入新鲜新颖的东西元素才行，这样拍出来，现在的年轻观众才喜欢看受众的话，不仅是中年观众，年轻的观众也是一样，爱看才行，我给一星。
12,2020-12-03 18:43:06,很差,我了个去，完全是大秦帝国最差一部，场面完全仿照电影英雄的拍摄，大气但有失实际情况。场面和恋爱古装剧一样，只是没有小鲜肉而已。很多不搭配。电视剧名字也大失所望，和富大龙那部纵横相比，最差了。第一集就不想看了，这样的导演真服了
13,2020-12-04 10:41:21,很差,张鲁一演嬴政是败笔
14,2020-12-04 10:26:20,较差,十三岁长这样？雷死人不偿命，嬴政看起来都比吕不韦老，找个小演员这么难么
15,2020-12-04 09:22:12,较差,哈哈哈给五分的人是认真的嘛，别和烂片比，和前几部比比就是差，实话实说
16,2020-12-04 07:44:34,很差,尬得我不行。很多演员演技实在不行。剧情垃圾。台词差评。
17,2020-12-04 00:36:53,较差,滚滚滚！多年《大秦帝国》铁粉硬是给我看脱粉了！特么什么狗剧情！台词现代化，剧情弱智化，政哥傻白甜？比权游最后一季还让我恶心🤢！还我人精劳模政哥还我老秦！越期待就越失望！气死我了！拳头都看硬了！
18,2020-12-01 21:05:26,力荐,啥时候能上阿孩子想看哭了--------今晚总算开播了 为了段奕宏来的 还是给了五星 第一集惟有嬴异人惊艳到我 其他的尚在混乱之中 再看吧 老段扮相还是帅的/-/客观评价 老段这部戏 不客气地讲 可能还没有几年前的韩信演得好 而张鲁一扮相如精细鬼 更一言难尽但我还是给五星 谁也不因为 大秦是特殊的
19,2020-12-04 11:40:04,较差,我收回之前说的“鱼蛋不红天理难容”的话，打脸了，不红真的是有原因的。
0,2020-12-04 10:45:34,很差,简直受不了，太黑祖龙了！剧组是没钱请13岁的小演员吗？还有就是剧里嬴政竟然给吕不韦下跪，莫名其妙化身玛丽苏？对吕不韦说：还不如和你浪迹天涯，再也不想做这不知道生父的畜牲？
1,2020-12-04 00:20:17,较差,真的不想承认这是大秦帝国的第四部，给我看傻了，我以为张鲁一的嬴政已经够咯噔了，结果今晚嬴政和吕不韦浪迹天涯，这都是些什么弱智剧情，编剧这是比司马迁还会写啊
2,2020-12-04 11:39:10,很差,不是我喜欢的类型，张鲁一40岁还演13岁真是尬到我脚趾扣地。。富大龙老师真是个好人，还发微博帮你们说话
3,2020-12-04 21:11:36,很差,张鲁一演的是秦始皇？我还以为是阿斗😐
4,2020-12-04 08:23:18,很差,以为让张鲁一演统一六国后的嬴政，万万没想到从十几岁演起？？？白瞎了一部好ip，大制作。
5,2020-12-01 20:41:02,力荐,8.7.前三集质感相当不错。
6,2020-12-04 14:18:29,很差,不尊重历史原型人物性格的历史剧一星都不值。浪迹天涯？可能吗！要拍古偶就架空，别碰任何历史朝代。看得生气，弃了。
7,2020-12-04 11:52:13,很差,一星送给男主，没能力没态度，就不要糟蹋好戏了，这年头好戏不多了……
8,2020-12-04 10:33:53,很差,长得像55岁的人，不要演13岁的少年霸主
9,2020-12-03 22:18:47,很差,看了一点，就这？就这还拉踩其他年轻演员和其他剧？十几岁的嬴政张着四十岁的脸？要和吕不韦浪迹天涯？
10,2020-12-03 23:16:29,很差,改名了所以我可以理所当然的安慰自己这不是秦四，果然开始吹剧的服道化多精良开始吹场面多大多有钱的几乎都是烂剧。我不敢相信这部剧的编剧是李梦，这个台词和秦二根本没法比，再者这个剧情是认真的吗？我可以接受对历史的艺术加工不代表可以接受对历史的魔改，既然走的是历史正剧的路子就应该要好好考究史实，而不是不管什么东西都拿来用。动动你的小脑袋瓜，始皇帝诶？怎么可能对吕不韦说出如果你是我的生父，就带我离开秦国这种傻逼语录！！！
11,2020-12-04 14:17:45,较差,40岁的脸演13岁的娃儿，你好歹把刘晓庆的毛戈平借来啊，不成体统！
12,2020-12-03 20:15:45,很差,“唯有灭六国成一国，才没有生灵涂炭，百姓安居乐业，没有妻离子散”台词令人作呕。明明秦制把国家变成战争机器，把人民榨的一滴不剩，编剧上学没背过《阿房宫赋》吗？跪舔法家的姿势令人不耻，别忘了商鞅自己就被酷法反噬。把虎狼暴秦描绘成正义之师，指鹿为马，颠倒黑白，必须一⭐。
13,2020-12-02 15:43:56,较差,追了二集  没觉得有多好 这系列大秦 真是越来不喜欢 
14,2020-12-02 16:58:23,力荐,发现很多评论，尤其女性居多，最基本的历史知识都没有，就在那大放厥词。拜托，这是历史剧，非得讲剧情，去看《燕云台》不香么？
15,2020-12-03 23:11:38,很差,祖龙认吕不韦当爹？？？？？！OMG编剧疯了
16,2020-12-04 09:36:14,很差,相比于之前几部，这部居然如此的粗糙。13岁要有13岁的样子，你妈的用个大叔演是有多缺钱。剧情，剪辑都乱七八糟真心失望，你是历史正剧，不是偶像剧，那女演员的妆容是真心的吗！
17,2020-12-05 01:59:37,很差,不想看了，1星给场面，太水了，5集是正常1集量，台词完全玛丽苏古偶，能看出大部分演员在努力演，但感觉只有段一个人有那味。找张鲁一就是最大败笔。毁了大秦帝国系列
18,2020-12-04 14:25:33,很差,感谢剧组呕心沥血用演员向我们证明了人类进化史上对人类外貌的不断完善 。请一个青年演员会怎么样你们是吧，你们家十三岁长得像三十三
19,2020-12-04 10:23:05,较差,张鲁一……很差！他真的是老鼠屎一样的存在，和富大龙张博完全不是一个等级
0,2020-12-05 00:18:05,很差,冲着段奕宏张鲁一来的，结果看了两集半，裂了……这真的是饱受赞誉的《大秦》嫡系么？如果说富不过三代那这部真的把家里夜壶都给当了……剧情经不起推敲，人物一个个塑造得傻比一样，台词水不拉几，议和一场戏的平原君浮夸得像个屠户莽夫……还有，看着女演员捧着当老公岁数还有富余辛柏青的脸慈爱地叫“我儿”就……打扰了告辞
1,2020-12-01 21:04:25,力荐,一直觉得中华文化思想的核心部分来自于大秦，大一统思想，是后世千年来秉承的对外观念。献公攻魏，孝公变法，惠文王定东出国策，武王破宜阳平巴蜀，昭襄王铲除山东六国主力，庄襄王灭东周，始皇帝扫六合。六世明君，天下独此一家。唯有天下一统，才能开拓万世太平。这句话，放到现在仍然适用，甚至很应景，手动艾特湾湾😂看了半个小时，场面恢宏，道具服装也更讲究了，先五星再说。
2,2020-12-05 07:17:25,较差,同时轧戏3部还没有能力讲文言文台词再见吧张鲁一。怎么想的，“及至始皇，奋六世之余烈，振长策而御宇内，吞二周而亡诸侯，履至尊而制六合，执敲扑而鞭笞天下，威振四海”，结果 我要跟你浪迹天涯？？？？？？？？？？？？
3,2020-12-04 15:38:24,很差,张鲁一拉黑！糊弄人呢吗？营销戏骨不就是因为丑，演技没有戏骨的水平
4,2020-12-04 21:01:26,很差,不多说了。系列最差。
5,2020-12-04 20:05:19,很差,张鲁一真是一言难尽啊，编剧真是一言难尽啊，导演真是一言难尽啊！蛮期待的剧看的浑身难受！
6,2020-12-04 09:16:50,很差,槽点之密集使我弃剧。人物过于想象化，且至12集没有一个立得住的。台词过于白且中二，道具过于新，色调过于鲜艳，女演员的妆容拉垮，破坏了整部剧本该有的历史氛围。
7,2020-12-04 11:00:58,较差,选角失败，剧本稀烂，一星给情怀一星留余地。
8,2020-12-04 13:02:52,很差,不用看了，执着于大场面，以为这就很酷？本来前三部就很粗糙，这部更粗糙，第二部至少台词对话很精彩，这部看啥？欢呼吧我的臣民？拍的跟个中二病一样。导演直接谢罪吧，剧情发展好无聊
9,2020-12-04 23:21:30,很差,张鲁一不适合嬴政，段奕宏不适合吕不韦
10,2020-12-04 23:03:49,很差,垃圾！前面的我忍了，十一集拍的什么垃圾！嬴政听了一点谣言就相信吕不韦是自己父亲了？就哭着要认祖归宗了？要跟着吕不韦浪迹天涯了？这是那个年纪轻轻统一天下的人？我可去你的吧！！这剧的真实操盘人你也不怕祖龙显灵劈死你看到有人说吕不韦六十集才下线，这部剧的编剧怕不是武媚娘传奇的编剧，明明在主角生命历程中占比最小的一部分楞是拍出占总数三分之二的剧集……
11,2020-12-05 06:19:00,很差,张鲁一去演一个13岁的嬴政 不觉得自己太老了看的别扭吗？还有剧本问题 公子溪直接被嘴炮说服了 我满脑子问号 还有就是大问题 华阳太后真的是大反派吗？？？把夏弄的那么边缘真的好吗 嬴政亲政之前最大的看点难道不是政斗 各大派系的争斗楚系韩系赵系
12,2020-12-04 14:31:00,很差,大型车祸现场，选角严重失败，油腻套路
13,2020-12-05 01:30:02,很差,嬴政都要跟吕不韦私奔了，还有脸吹历史正剧，是梁静茹给你的勇气？？？
14,2020-12-03 15:58:41,很差,张鲁一太没祖龙皇帝气质了吧，演技拉胯
15,2020-12-02 22:38:32,较差,真的不如前几部。还有张鲁一演技没问题但是缺少秦王嬴政的霸气。吕不韦段奕宏选的好演的也好
16,2020-12-05 00:24:01,很差,嬴政演成这样，我是没有想到的！
17,2020-12-02 12:19:02,很差,有零星吗，给一星都是抬举这剧了。编剧还是看会书吧
18,2020-12-04 12:00:39,很差,13岁？
19,2020-12-04 18:03:31,较差,服化道都还凑合，非得让一个四十的去演14的？这特么谁能看进去？编剧就是吃了s一样，围绕一个身世的八卦问题，在哪里逼逼赖赖个不停，公子疾和赵姬讨论了一天一夜？？？大家正怀疑的时候吕不韦开口来个政儿？？？嬴政不问赢异人去跟吕不韦双宿双飞？？？这编剧是吃了多少S？故意制造八卦，你家祖传八卦业出身？5，6分见。
0,2020-12-05 03:56:36,较差,我大中华没演员了吗？让浑身透着怂的二哥演始皇？还有那朱珠
1,2020-12-09 00:56:47,很差,"第一次给了五分(改分）艹甘罗这个死我真的不能忍了,这个剧不配得到5分,历史剧就好好按历史剧拍好吗,这个剧把嬴政描绘的像个傻逼,我要弃剧了(再次改分）第三次改分了,今天看到嬴政娶双妃,彻底弃剧了,实在是无力吐槽,什么狗屁玩意儿,辛亏没有叫大秦帝国,简直是辱前两部了,望周知,这就是一部宫斗加恋爱的爽剧,权谋的成分基本🈚,演的嬴政就知道天天喊口号要统一,但是自己讲不出什么谋略出来,而且动不动突然杀人,真就像精神分裂症一样。全篇白话,跟第一二部台词差了十万八千里,把吕不韦和嬴政给毁了。对大秦赋感到特别失望,不知道是什么原因把剧魔改成这样的,希望资本能明白剧本的重要性不要乱改剧本了。"
2,2020-12-03 14:53:03,很差,张鲁一为什么秦始皇？？？？？？13岁也演？心里没数吗？？？？？眼睛好疲惫，毫无气势，一看到就拉胯😒
3,2020-12-04 07:33:51,很差,满屏的尴尬
4,2020-12-04 11:36:13,较差,我是做错了什么看这部剧？我还是回去看崛起吧！🤯🤯
5,2020-12-04 02:12:15,很差,"天啊，下滑得也太多了吧。这糟糕的台词，这糟糕的赵姬，这糟糕的节奏，这糟糕的颜色, 真的和前三部不在一个水平，甚至都不像一个系列了。"
6,2020-12-02 14:40:30,较差,第一集 4.0这服化道也太假了吧 少拍几集用在该用的地方吧
7,2020-12-04 07:10:25,较差,假就一个字
8,2020-12-03 23:52:19,很差,观望了好几天才来评价，骂自己“连自己生父是谁都不知道的畜生”的秦始皇，我真的想问这个选角和塑造真的不怕始皇帝来找你们吗？这对比第一部第二部太拉胯了
9,2020-12-04 23:14:56,很差,太烂了，对得起前三部么，毁了这么好的原著
10,2020-12-05 08:52:22,很差,人物关系设置别扭，台词不符合人物的身份和动机。故事说到底是要讲逻辑，讲节奏的，二者不对，只能泄气和出戏。
11,2020-12-02 11:35:23,很差,学人拍历史剧？自己就在家编？硬编？真当戏说在写？第一集就弃了，马车逃跑那段宛如儿戏，非得把马整死步行，你们三骑马不行？看第一集我就知道工具人秦异人、醪毐戏不少，史书上没有的事就自己编。强行宫斗、强行腹黑华阳夫人和主角对立？至于对白台词有多水，初中以上文化的人都看的出来吧，和前三部高下立判，那才是中华文化！
12,2020-12-04 21:56:29,较差,这部剧真的只有战斗场面能看了，文戏一塌糊涂，刚开播和我爸兴奋死了 坐一起看，就想着能有前几部的质感，结果真的一路崩坏，到11，12集简直绝了，嬴政身份不说了，就这个剧情逻辑简直崩坏。赵姬和大伯谈了一天一夜就是一直自我洗脑当皇帝苦然后放弃了！？夏太后白天出宫找丞相就再也没出现了？晚上走的嬴政都比他到的早，有什么意义这一段？勤王救驾还要休息等到明天辰时？不怕晚上王就驾崩了吗？简直了，祖龙看了都要从墓里跳出来杀人
13,2020-12-05 09:39:50,较差,这开分真的是靠前两部的情怀才冲这么高的，太差劲了。你标榜历史正剧总得拿历史正剧的标准要求自己吧?
14,2020-12-04 08:25:45,较差,前几部任何一个秦王拿过来都比这个好，还有这个台词怎么回事？？
15,2020-12-05 00:49:31,很差,收尾之作搞成这样真的是一言难尽，张鲁一实在没有扫六合的霸气，弃了。
16,2020-12-05 02:49:15,较差,老秦人了，这部最让人无语，选角奇奇怪怪，段奕宏演的吕不韦形容猥琐，张鲁一的13岁嬴政让人吐槽无力，辛柏青的庄襄王还不错，两分是为了情怀
17,2020-12-04 20:18:07,较差,男主真的太老了吧，而且也没有演技拯救皮相啊！！！
18,2020-12-04 03:19:11,较差,跟宁静张博版大秦系列差八条街！垃圾导演、剪辑！服化道一星！演员阵容（非演技，浪费）一星
19,2020-12-04 22:33:45,很差,说自己是畜生的秦始皇？还要和吕不韦浪迹天涯的秦始皇？？瞎编乱造的大烂剧
0,2020-12-05 00:49:31,很差,收尾之作搞成这样真的是一言难尽，张鲁一实在没有扫六合的霸气，弃了。
1,2020-12-04 22:33:45,很差,说自己是畜生的秦始皇？还要和吕不韦浪迹天涯的秦始皇？？瞎编乱造的大烂剧
2,2020-12-04 22:05:44,很差,尊重下祖龙年龄好嘛，13岁长了张50的脸？(我后悔了，本来打三星，今天那个脸吓得我只能打一星)
3,2020-12-04 10:37:54,较差,本来是打算四星的，以前几部还不错，但这部确定不是拿观众当傻子吗？13岁的赢政长着40岁的脸，蒙谁呢！
4,2020-12-05 02:32:56,较差,张鲁一演嬴政太不合适了！尤其是演十几岁的，我瞎了！
5,2020-12-03 13:15:33,很差,兴致勃勃追看了几集，节奏真的很差啊…………选角也很不合适，这分也太虚高了。砸破了央视地盘吧，播啥都破1的，这剧看野榜0.6
6,2020-12-03 11:10:58,很差,剧组有钱了，演员剧情都不行了....
